Name,Period,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Banizoumbo,1995-97,2.65,13.53,250,8.1,10.0,9.2,10.0,8.8,10.0,10.0,8.0,7.2,10.0,7.3,4.8
Bidi-Bahn,1996-97,-2.45,14.05,0,6.6,10.0,10.0,7.6,10.0,10.0,10.0,9.9,9.2,9.6,6.5,4.1
Dakar,1996-2000,-16.95,14.38,0,4.4,10.0,10.0,7.5,10.0,10.0,10.0,10.0,6.6,6.6,4.5,3.8
Cape Verde,1994-99,-22.93,16.72,60,6.6,8.1,5.2,5.1,7.3,10.0,10.0,8.2,9.1,6.1,6.4,5.9
Sharurah,1998-2000,47.11,17.47,725,4.0,4.6,4.6,5.1,5.1,5.8,5.9,6.4,5.1,4.1,3.7,3.4
San Juan,1979-80,-66.00,18.43,19,4.0,3.7,4.3,4.4,4.8,4.6,4.5,4.7,4.5,4.6,4.0,3.5
Mexico City,1999-2000,-99.17,19.33,2268,3.6,3.8,3.8,4.1,4.2,3.9,3.1,-,-,3.2,3.4,2.8
Mauna Loa,1994-99,-155.57,19.53,3397,2.0,2.0,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Lanai,1995-99,-156.98,20.82,80,3.2,3.2,3.5,3.5,3.5,3.1,2.9,3.0,3.0,3.1,3.1,3.2
Honolulu,1961-90,-157.92,21.33,5,3.8,3.9,4.2,4.6,4.6,4.8,4.8,4.6,4.6,4.5,4.0,3.7
Tamanrasset,1995-99,5.52,22.78,1377,2.7,2.6,3.2,3.3,3.2,3.9,4.0,4.4,4.5,4.7,3.5,3.7
Aswan,1995-99,32.78,23.97,192,3.5,3.3,3.9,3.9,-,4.0,4.3,4.4,4.3,-,3.7,3.6
Key West,1961-90,-81.75,24.55,1,3.5,3.5,3.8,4.1,4.8,5.8,-,-,-,4.5,3.9,3.4
Dry Tortugas,1996-99,-82.78,24.60,0,3.4,3.5,3.3,3.8,4.4,4.0,4.6,4.0,4.1,3.4,3.4,3.5
Solar Village,1998-2000,46.41,24.91,650,3.4,4.6,4.5,5.5,5.3,5.0,5.3,5.5,5.2,4.4,3.9,3.2
Miami,1978-85,-80.27,25.80,2,3.4,3.5,3.8,4.4,4.8,4.7,5.6,5.8,5.0,4.5,3.9,3.4
Brownsville,"1978-84, 88",-97.43,25.90,6,3.3,3.7,3.9,4.5,4.6,5.1,5.0,4.9,4.3,4.0,3.5,3.3
Bahrain,1998-99,50.50,26.32,0,3.6,3.9,4.5,5.6,5.7,5.5,7.6,6.1,5.3,4.1,3.8,3.4
Asyut,1995-99,31.50,27.20,52,3.8,3.4,3.2,3.7,3.7,3.6,4.0,4.6,4.2,4.6,4.4,4.3
Al Jouf,1998-2000,40.10,29.79,669,3.3,3.3,3.6,4.5,4.6,4.2,4.5,5.4,4.7,4.3,3.8,3.5
New Orleans,1961-90,-90.25,29.98,3,3.0,2.9,3.3,3.5,3.8,4.5,5.2,4.5,4.1,3.5,3.2,2.9
Cairo HQ,1995-99,31.28,30.08,36,-,3.9,4.7,4.8,5.3,-,5.4,5.9,5.6,5.3,5.6,-
Bahtim,1995-99,31.25,30.15,17,-,4.6,4.5,4.9,5.2,4.3,4.6,4.9,5.3,5.2,5.4,-
Sede Boker,1998-99,34.37,30.52,480,3.4,3.7,3.7,4.6,5.1,3.6,4.0,3.9,4.1,4.0,3.8,2.9
Tahrir,1995-99,30.70,30.65,19,-,4.5,4.5,-,4.0,4.2,-,4.7,4.7,5.0,5.2,4.3
El Arish,1995-99,33.75,31.12,32,4.5,3.8,2.9,4.0,3.9,3.7,3.4,4.2,4.1,4.6,4.3,4.3
Rafah,1995-99,34.20,31.22,73,4.2,3.8,-,3.9,4.2,3.9,4.2,4.6,4.4,-,-,4.0
Mersa Matruh,1995-99,27.22,31.33,38,2.6,4.3,-,-,4.4,4.3,-,4.9,4.5,3.0,-,-
Sidi Barrani,1995-99,25.85,31.63,26,3.4,-,4.0,-,4.1,-,4.2,-,-,4.5,-,4.1
El Paso,1988-90,-106.40,31.80,1194,3.1,3.4,3.5,3.8,4.0,4.4,4.6,4.5,4.0,3.5,3.2,3.0
Bet Dagan,1981-90,34.82,32,30,3.7,3.7,3.8,4.5,4.3,4.5,4.9,4.6,4.9,4.3,3.8,4.1
Tucson,1999-2001,-110.95,32.22,779,2.3,2.4,2.5,2.7,2.9,3.0,3.3,3.6,3.1,2.6,2.5,2.5
Beni Mellal,1981-90,-6.4,32.37,468,2.9,3.6,3.1,4.0,4.1,4.9,5.4,5.5,5.2,4.5,4.0,3.5
Bermuda,1996-99,-64.68,32.37,10,3.2,3.5,3.3,3.7,4.2,3.9,4.0,3.5,3.7,3.4,3.2,3.4
San Nicolas Island,1998-2000,-119.48,33.25,133,2.4,2.5,3.2,3.3,3.2,2.9,2.9,2.7,3.0,2.6,2.4,2.3
Casablanca,1981-90,-7.67,33.57,57,3.1,3.6,2.7,3.6,3.4,3.4,4.0,4.0,3.8,3.6,3.2,2.5
Los Angeles,1978-80,-118.40,33.93,32,3.3,3.5,3.9,4.4,4.2,4.2,4.3,4.7,4.2,4.2,3.4,3.1
Sevilleta,1994-99,-106.88,34.34,1447,2.2,2.2,2.5,2.7,2.8,2.8,3.0,2.9,2.8,2.5,2.3,2.3
Rogers Dry Lake,2000-2001,-117.88,34.91,680,2.4,2.5,2.7,3.1,3.1,3.0,2.9,2.9,2.6,2.7,2.5,2.4
Albuquerue,"1980, 88, 90",-106.62,35.05,1619,3.0,3.1,3.4,3.8,3.9,4.1,4.5,4.4,3.8,3.4,3.1,2.9
Memphis,1961-90,-89.98,35.05,87,2.9,2.9,3.1,3.3,3.7,4.1,4.4,4.2,3.8,3.3,3,2.9
Raleigh,1988-90,-78.78,35.87,134,2.8,2.7,3.6,3.9,4.0,4.5,4.3,4.8,3.7,3.2,2.9,2.9
Las Vegas,1988-90,-115.17,36.08,664,2.6,2.8,3.0,3.2,3.3,3.3,3.5,3.4,3.2,2.8,2.8,2.5
IMS-METU-Erdemli,1999-2001,34.25,36.55,0,2.7,2.9,3.3,6.8,3.8,3.8,4.9,4.7,4.7,3.5,3.3,3.0
Cart site,1994-99,-97.40,36.60,315,2.6,2.6,3.3,3.4,4.7,3.7,3.8,4.0,3.8,3.1,2.5,2.4
Fresno,1978-80,-119.72,36.77,100,4.1,3.9,3.9,4.2,4.2,4.3,3.9,3.9,3.8,4.5,3.5,3.5
Sidi Bou Said,1995-99,10.23,36.87,127,3.8,3.7,3.5,4.3,4.2,4.1,4.5,3.6,4.4,3.6,3.6,3.1
Antalya,1982-90,30.73,36.87,50,2.0,2.0,2.2,3.1,3.1,3.6,4.2,4.1,3.4,2.5,2.0,2.0
Cove,1999-2001,-75.70,36.88,0,2.4,2.6,2.5,3.9,3.7,4.0,4.1,4.6,3.6,2.6,2.5,2.4
Oyster,1998-2000,-75.92,37.28,8,2.3,2.5,2.6,2.8,3.3,4.1,4.4,4.1,3.8,2.6,3.8,2.5
San Francisco,1961-90,-122.38,37.62,5,3.3,3.3,3.2,3.2,3.4,3.4,3.5,3.4,3.3,3.1,3.1,3.0
Dodge City,"1978-80,",-99.97,37.77,787,2.8,3.0,3.2,3.8,4.1,4.3,4.5,4.4,4.1,3.3,2.9,2.8
Diyarbakir,1983-90,40.18,37.88,686,2.4,3.2,2.2,4.2,3.6,4.1,4.4,4.6,3.0,2.5,2.0,2.1
Athens,1994,23.72,37.97,107,3.4,3.6,3.7,4.6,4.0,4.2,4.2,4.7,3.7,3.4,3.5,3.3
Athens Observatory,1954-92,23.72,37.97,107,3.8,3.9,4.7,5.1,5.5,5.9,6.1,5.9,5.3,4.8,4.1,3.7
Murcia,1981-90,-1.17,38,61,2.4,2.7,2.5,3.2,3.4,3.7,3.7,4.0,3.9,3.0,2.8,2.3
Univers. Of Patras,1973-76,21.78,38.38,64,4.6,4.2,4.5,5.0,5.4,5.6,5.5,5.4,5.5,4.8,4.4,4.3
Evora,1981-89,-7.90,38.57,309,2.1,2.3,2.1,2.6,2.7,2.9,2.8,2.6,2.8,2.4,2.2,2.1
